NC_030156	Sclerotinia sclerotiorum mycoreovirus 4
NC_030115	Anopheles C virus
NC_030236	Impatiens flower break virus
NC_030229	Tropical soda apple mosaic virus
NC_030126	Porcine associated porprismacovirus 10
NC_030139	Sewage associated gemycircularvirus 3
NC_030146	Faeces associated gemycircularvirus 22
NC_030141	Faeces associated gemycircularvirus 20
NC_030145	Faeces associated gemycircularvirus 19
NC_030143	Faeces associated gemycircularvirus 18
NC_030140	Faeces associated gemycircularvirus 17
NC_030144	Faeces associated gemycircularvirus 16
NC_030147	Faeces associated gemycircularvirus 15
NC_030138	Faeces associated gemycircularvirus 14
NC_030118	Tobacco mosqueado virus
NC_030117	Canid alphaherpesvirus 1
NC_030148	Marbled eel polyomavirus
NC_030151	Cervus papillomavirus 2
NC_030127	Porcine stool-associated circular virus
NC_030201	Fusarium poae dsRNA virus 2
NC_030199	Avian-like circovirus
NC_030200	macacine betaherpesvirus 9
NC_030203	Sclerotinia sclerotiorum umbra-like virus 1
NC_030205	Water chestnut soymovirus 1
NC_030202	Fusarium poae dsRNA virus 3
NC_030295	Golden shiner totivirus
NC_030296	Diaphorina citri densovirus
NC_030291	GB virus-D
NC_030294	Negev virus
NC_030297	Torque teno mini virus 18
NC_030293	Pecan mosaic-associated virus
NC_030308	Phytomonas serpens narnavirus 1
NC_018082	Cotton leaf curl Multan alphasatellite
NC_018090	French bean leaf curl virus
NC_018091	French bean leaf curl betasatellite-Kanpur
NC_018093	Sweet potato virus G
NC_030224	Nigrospora oryzae victorivirus 1
NC_030238	Euphorbia caput-medusae latent virus
NC_030242	Victorian trout aquabirnavirus
NC_030244	Victorian trout aquabirnavirus
NC_030235	Antarctic picorna-like virus 4
NC_030234	Antarctic picorna-like virus 3
NC_030233	Antarctic picorna-like virus 2
NC_030232	Antarctic picorna-like virus 1
NC_030225	Pepo aphid-borne yellows virus
NC_030240	Catopsilia pomona nucleopolyhedrovirus
NC_030231	avian paramyxovirus 13
NC_030243	Sinapis alba cryptic virus 1
NC_030245	Sinapis alba cryptic virus 1
NC_030226	Parthenium leaf curl alphasatellite
NC_030228	Xinzhou spider virus 3
NC_030227	Wuhan centipede virus
NC_030290	Culiseta flavivirus
NC_023295	apricot vein clearing associated virus
NC_027059	Torque teno sus virus 1b
NC_023300	Black medic leaf roll virus
NC_023301	Black medic leaf roll virus
NC_023302	Black medic leaf roll virus
NC_023304	Black medic leaf roll virus
NC_023306	Black medic leaf roll virus
NC_023307	Black medic leaf roll virus
NC_023299	Black medic leaf roll virus
NC_023305	Black medic leaf roll virus
NC_023296	Pea yellow stunt virus
NC_023297	Pea yellow stunt virus
NC_023298	Pea yellow stunt virus
NC_023308	Pea yellow stunt virus
NC_023309	Pea yellow stunt virus
NC_023310	Pea yellow stunt virus
