Reference_accession	Groupname
NC_020498.1	Torque-Teno virus
NC_025727.1	Torque-Teno virus
NC_025726.1	Torque-Teno virus
NC_030297.1	Torque-Teno virus
NC_038337.1	Torque-Teno virus
NC_038345.1	Torque-Teno virus
NC_038346.1	Torque-Teno virus
NC_038347.1	Torque-Teno virus
NC_038350.1	Torque-Teno virus
NC_038351.1	Torque-Teno virus
NC_038352.1	Torque-Teno virus
NC_038353.1	Torque-Teno virus
NC_038354.1	Torque-Teno virus
NC_038355.1	Torque-Teno virus
NC_038356.1	Torque-Teno virus
NC_038357.1	Torque-Teno virus
NC_038358.1	Torque-Teno virus
NC_038359.1	Torque-Teno virus
NC_038360.1	Torque-Teno virus
NC_038361.1	Torque-Teno virus
NC_007014.1	Torque-Teno virus
NC_023888.1	NA
NC_040306.1	NA
NC_001486.1	NA
NC_024694.1	NA
NC_035211.1	NA
NC_035213.1	NA
NC_035212.1	NA
NC_023874.2	NA
NC_038392.1	NA
